Year,State,Fires,Acres
2000,OR,1952.0,92500.0
2001,OR,1500.0,254000.0
2002,OR,2548.0,1010952.0
2003,OR,2599.0,160191.0
2004,OR,2266.0,30018.0
2005,OR,1820.0,155331.0
2006,OR,3251.0,545870.0
2007,OR,2561.0,648046.0
2008,OR,1766.0,136572.0
2009,OR,1488.0,100668.0
2010,OR,1315.0,93731.0
2011,OR,1151.0,285712.0
2012,OR,963.0,1256049.0
2013,OR,2848.0,350786.0
2014,OR,3087.0,984629.0
2015,OR,2588.0,685809.0
2016,OR,1245.0,219509.0
2017,OR,2049.0,714520.0
2018,OR,2019.0,897262.0
2019,OR,2293.0,79732.0
2020,OR,2027.0,1221324.0
2000,CA,7622.0,295026.0
2001,CA,9317.0,377340.0
2002,CA,8171.0,538216.0
2003,CA,8287.0,965770.0
2004,CA,7898.0,311024.0
2005,CA,7237.0,279214.0
2006,CA,7855.0,863345.0
2007,CA,6043.0,1520362.0
2008,CA,6255.0,1593690.0
2009,CA,7010.0,451969.0
2010,CA,6394.0,134462.0
2011,CA,7732.0,228599.0
2012,CA,7041.0,829224.0
2013,CA,8889.0,601635.0
2014,CA,7233.0,625540.0
2015,CA,8283.0,880899.0
2016,CA,6954.0,669534.0
2017,CA,7117.0,505956.0
2018,CA,6284.0,876147.0
2019,CA,7915.0,1059051.0
2020,CA,9639.0,4177856.0
2000,Other,82676.0,7005967.0
2001,Other,73262.0,2939571.0
2002,Other,62738.0,5635544.0
2003,Other,52743.0,2834881.0
2004,Other,55297.0,7756838.0
2005,Other,57696.0,8254844.0
2006,Other,85279.0,8464530.0
2007,Other,77101.0,7159637.0
2008,Other,69751.0,3429645.0
2009,Other,68817.0,5362184.0
2010,Other,64130.0,3194630.0
2011,Other,65243.0,8197056.0
2012,Other,59261.0,7136366.0
2013,Other,34878.0,3354755.0
2014,Other,53025.0,1977392.0
2015,Other,51051.0,8558441.0
2016,Other,57376.0,4557477.0
2017,Other,56965.0,8560586.0
2018,Other,47608.0,6809200.0
2019,Other,39578.0,3491224.0
2020,Other,46592.0,4875499.0
2020,Total,58258.0,10274679.0
2015,Total,61922.0,10125149.0
2018,Total,55911.0,8582609.0
2017,Total,66131.0,9781062.0
2012,Total,67265.0,9221639.0
2005,Total,66753.0,8689389.0
2004,Total,65461.0,8097880.0
2011,Total,74126.0,8711367.0
2007,Total,85705.0,9328045.0
2006,Total,96385.0,9873745.0
2002,Total,73457.0,7184712.0
2019,Total,49786.0,4630007.0
2013,Total,46615.0,4307176.0
2016,Total,65575.0,5446520.0
2000,Total,92250.0,7393493.0
2009,Total,77315.0,5914821.0
2008,Total,77772.0,5159907.0
2003,Total,63629.0,3960842.0
2014,Total,63345.0,3587561.0
2010,Total,71839.0,3422823.0
2001,Total,84079.0,3570911.0
